Year,State,CoC Number,CoC Name,Measures,Count
1/1/2007,AK,AK-500,Anchorage CoC,Sheltered Homeless,842
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Sheltered Homeless,545
1/1/2007,AL,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered Homeless,"1,240"
1/1/2007,AL,AL-501,Mobile City & County/Baldwin County CoC,Sheltered Homeless,410
1/1/2007,AL,AL-502,Florence/Northwest Alabama CoC,Sheltered Homeless,131
1/1/2007,AL,AL-503,Huntsville/North Alabama CoC,Sheltered Homeless,756
1/1/2007,AL,AL-504,Montgomery City & County CoC,Sheltered Homeless,331
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Sheltered Homeless,104
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Sheltered Homeless,332
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Sheltered Homeless,492
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Sheltered Homeless,"1,187"
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered Homeless,244
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Sheltered Homeless,59
1/1/2007,AR,AR-504,Delta Hills CoC,Sheltered Homeless,391
1/1/2007,AR,AR-505,Southeast Arkansas,Sheltered Homeless,120
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Sheltered Homeless,18
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Sheltered Homeless,147
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Sheltered Homeless,2
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Sheltered Homeless,117
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Sheltered Homeless,"1,013"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Sheltered Homeless,"2,010"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Sheltered Homeless,"5,595"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Sheltered Homeless,"2,101"
1/1/2007,CA,CA-501,San Francisco CoC,Sheltered Homeless,"2,912"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Sheltered Homeless,"2,342"
1/1/2007,CA,CA-503,Sacramento City & County CoC,Sheltered Homeless,"1,447"
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Sheltered Homeless,782
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Sheltered Homeless,903
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered Homeless,509
1/1/2007,CA,CA-507,Marin County CoC,Sheltered Homeless,602
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered Homeless,486
1/1/2007,CA,CA-509,Mendocino County CoC,Sheltered Homeless,284
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Sheltered Homeless,634
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Sheltered Homeless,"2,176"
1/1/2007,CA,CA-512,Daly/San Mateo County CoC,Sheltered Homeless,704
1/1/2007,CA,CA-513,"Visalia, Kings, Tulare Counties CoC",Sheltered Homeless,280
1/1/2007,CA,CA-514,Fresno/Madera County CoC,Sheltered Homeless,"2,735"
1/1/2007,CA,CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",Sheltered Homeless,450
1/1/2007,CA,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered Homeless,250
1/1/2007,CA,CA-517,Napa City & County CoC,Sheltered Homeless,219
1/1/2007,CA,CA-518,Vallejo/Solano County CoC,Sheltered Homeless,457
1/1/2007,CA,CA-519,Chico/Paradise/Butte County CoC,Sheltered Homeless,936
1/1/2007,CA,CA-520,Merced City & County CoC,Sheltered Homeless,221
1/1/2007,CA,CA-521,Davis/Woodland/Yolo County CoC,Sheltered Homeless,228
