Community Name,SPA,SD,CD,SSD,AD,USCD,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
Adams,6,2,8,30,53,37,64,0,0,7,14,35,8,25,13,25,69,13,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,225
Adams-La Brea,6,2,10,30,54,37,44,0,0,2,5,16,0,2,4,9,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,92
Agoura Hills,2,3,0,27,44,33,6,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
Agua Dulce,2,5,0,21,36,25,28,0,0,0,6,20,0,6,0,10,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,86
Alhambra,3,5,0,22,49,27,20,0,0,5,4,1,0,6,8,7,2,0,11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,48,0,16,0,16,64
Alondra Park,8,2,0,35,62,43,16,0,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
Altadena,3,5,0,25,41,27,15,0,0,14,1,6,0,2,23,2,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56
Angeles National Forest,2,3,7,18,39,28,17,0,0,6,0,6,0,2,10,0,11,0,3,0,0,0,0,0,0,0,11,36,103,1,10,23,0,0,0,0,0,0,0,0,41,0,138,0,138,179
Arcadia,3,5,0,9,20,27,5,0,0,2,1,0,0,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
Arleta,2,3,6,18,39,29,36,0,0,5,2,16,3,1,8,4,31,6,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,10,0,10,97
Arroyo Seco,4,1,14,24,41,34,8,0,0,4,2,24,1,1,6,4,47,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,69
Artesia,7,4,0,32,58,38,2,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
Atwater Village,4,1,13,24,43,28,8,0,0,2,2,7,1,0,4,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30
Avalon,8,4,0,26,70,47,10,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
Avocado Heights,3,1,0,22,57,32,26,0,0,0,4,32,2,6,0,7,61,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,107
Azusa,3,1,0,22,48,32,24,0,0,2,4,10,0,0,4,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,55
Baldwin Hills / Crenshaw,6,2,10,30,54,37,81,2,13,37,20,23,17,16,59,35,45,28,27,0,0,0,24,0,0,0,7,1,2,5,0,0,0,0,0,0,0,0,0,0,288,24,14,0,38,326
Baldwin Park,3,1,0,22,48,32,76,0,0,4,5,5,0,5,7,9,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,111
Bel Air-Beverly Crest,5,3,4,26,50,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Bell,7,1,0,32,53,40,40,0,0,0,2,7,5,3,0,4,14,8,5,188,5,15,6,2,4,0,184,0,0,2,0,0,0,0,0,0,0,0,0,0,71,213,186,0,399,470
Bell Gardens,7,1,0,33,58,40,33,0,0,6,4,20,6,2,10,7,39,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,102
Bellflower,7,4,0,32,58,40,63,0,0,10,12,10,5,29,16,21,20,8,48,0,0,0,0,0,0,0,9,6,22,1,2,5,0,0,0,0,0,0,0,0,176,0,37,0,37,213
Beverly Hills,5,3,0,26,50,33,14,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
Boyle Heights,4,1,14,24,51,34,160,0,0,17,30,44,22,72,28,51,85,36,114,70,32,115,13,0,0,0,3,6,17,20,3,8,0,0,0,0,0,0,0,0,474,198,48,0,246,720
Bradbury,3,5,0,10,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood,5,3,11,26,50,33,9,0,0,3,7,8,0,1,5,12,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44
Burbank,2,5,0,25,43,28,29,0,0,10,5,17,5,13,18,9,34,8,22,0,0,0,0,0,0,0,0,7,28,3,0,0,0,0,0,0,0,0,0,0,120,0,31,0,31,151
Calabasas,2,3,0,27,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabasas and Hidden Hills,2,3,0,27,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canoga Park,2,5,3,27,45,30,25,0,0,2,8,60,0,3,4,14,115,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,15,0,15,178
