censusTract,Year,City,CommunityName,Detailed_Name,SPA,SD,CD,SSD,AD,USCD,DemogSurveySample,YouthCountSample,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
101110,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,No,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
101122,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,No,0,0,0,1,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
101210,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,No,9,0,0,1,0,4,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
101220,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,Yes,No,18,0,0,5,4,3,0,0,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39
101300,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,No,6,0,0,2,0,9,1,3,3,0,17,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
101400,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,Yes,No,6,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
102103,2016,Los Angeles,Sun Valley,Sun Valley Area NC,2,5,2,18,39,28,No,No,5,0,0,2,3,1,1,2,3,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
102104,2016,Los Angeles,Sun Valley,Sun Valley Area NC,2,5,2,18,39,28,No,Yes,6,0,0,1,2,5,1,3,2,3,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
102105,2016,Los Angeles,Sun Valley,Sun Valley Area NC,2,5,2,18,39,29,No,No,6,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
102107,2016,Los Angeles,Foothill Trails,Foothill Trails District NC,2,5,7,25,39,28,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103101,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,No,10,0,0,0,0,1,7,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
103102,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
103200,2016,Los Angeles,Foothill Trails,Foothill Trails District NC,2,5,7,18,39,29,Yes,No,42,0,0,0,0,2,0,12,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,65
103300,2016,Los Angeles,Foothill Trails,Foothill Trails District NC,2,5,7,25,39,28,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103400,2016,Los Angeles,Sunland-Tujunga,Sunland-Tujunga NC,2,5,7,25,39,28,No,No,6,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
104103,2016,Los Angeles,Foothill Trails,Foothill Trails District NC,2,3,7,18,39,29,No,No,4,0,0,1,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
