Year,State,CoC Number,CoC Name,Measures,Count
1/1/2007,AK,AK-500,Anchorage CoC,Total Homeless,974
1/1/2007,AK,AK-501,Alaska Balance of State CoC,Total Homeless,668
1/1/2007,AL,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Total Homeless,"2,104"
1/1/2007,AL,AL-501,Mobile City & County/Baldwin County CoC,Total Homeless,649
1/1/2007,AL,AL-502,Florence/Northwest Alabama CoC,Total Homeless,265
1/1/2007,AL,AL-503,Huntsville/North Alabama CoC,Total Homeless,830
1/1/2007,AL,AL-504,Montgomery City & County CoC,Total Homeless,456
1/1/2007,AL,AL-505,Gadsden/Northeast Alabama CoC,Total Homeless,119
1/1/2007,AL,AL-506,Tuscaloosa City & County CoC,Total Homeless,345
1/1/2007,AL,AL-507,Alabama Balance of State CoC,Total Homeless,684
1/1/2007,AR,AR-500,Little Rock/Central Arkansas CoC,Total Homeless,"1,822"
1/1/2007,AR,AR-501,Fayetteville/Northwest Arkansas CoC,Total Homeless,279
1/1/2007,AR,AR-502,Conway/Arkansas River Valley,Total Homeless,163
1/1/2007,AR,AR-504,Delta Hills CoC,Total Homeless,901
1/1/2007,AR,AR-505,Southeast Arkansas,Total Homeless,130
1/1/2007,AR,AR-506,"Johnson, Pope, Yell Counties",Total Homeless,21
1/1/2007,AR,AR-508,Old Fort Homeless Coalition,Total Homeless,194
1/1/2007,AR,AR-509,Hot Springs/South West Arkansas CoC,Total Homeless,4
1/1/2007,AR,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",Total Homeless,322
1/1/2007,AZ,AZ-500,Arizona Balance of State CoC,Total Homeless,"2,997"
1/1/2007,AZ,AZ-501,Tucson/Pima County CoC,Total Homeless,"3,201"
1/1/2007,AZ,AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,Total Homeless,"8,448"
1/1/2007,CA,CA-500,San Jose/Santa Clara City & County CoC,Total Homeless,"7,202"
1/1/2007,CA,CA-501,San Francisco CoC,Total Homeless,"5,703"
1/1/2007,CA,CA-502,Oakland/Alameda County CoC,Total Homeless,"4,838"
1/1/2007,CA,CA-503,Sacramento City & County CoC,Total Homeless,"2,452"
1/1/2007,CA,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,Total Homeless,"1,314"
1/1/2007,CA,CA-505,Richmond/Contra Costa County CoC,Total Homeless,"4,062"
1/1/2007,CA,CA-506,"Salinas/Monterey, San Benito Counties CoC",Total Homeless,"1,402"
1/1/2007,CA,CA-507,Marin County CoC,Total Homeless,"1,002"
1/1/2007,CA,CA-508,Watsonville/Santa Cruz City & County CoC,Total Homeless,"2,789"
1/1/2007,CA,CA-509,Mendocino County CoC,Total Homeless,"1,422"
1/1/2007,CA,CA-510,Turlock/Modesto/Stanislaus County CoC,Total Homeless,"1,593"
1/1/2007,CA,CA-511,Stockton/San Joaquin County CoC,Total Homeless,"2,479"
1/1/2007,CA,CA-512,Daly/San Mateo County CoC,Total Homeless,"1,798"
1/1/2007,CA,CA-513,"Visalia, Kings, Tulare Counties CoC",Total Homeless,"1,106"
1/1/2007,CA,CA-514,Fresno/Madera County CoC,Total Homeless,"4,247"
1/1/2007,CA,CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",Total Homeless,587
1/1/2007,CA,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Total Homeless,296
1/1/2007,CA,CA-517,Napa City & County CoC,Total Homeless,365
1/1/2007,CA,CA-518,Vallejo/Solano County CoC,Total Homeless,"1,956"
1/1/2007,CA,CA-519,Chico/Paradise/Butte County CoC,Total Homeless,"1,478"
1/1/2007,CA,CA-520,Merced City & County CoC,Total Homeless,"2,641"
1/1/2007,CA,CA-521,Davis/Woodland/Yolo County CoC,Total Homeless,414
1/1/2007,CA,CA-522,Humboldt County CoC,Total Homeless,907
1/1/2007,CA,CA-523,"Colusa, Glenn, Trinity Counties CoC",Total Homeless,155
1/1/2007,CA,CA-524,Yuba City & County/Sutter County CoC,Total Homeless,362
1/1/2007,CA,CA-525,El Dorado County CoC,Total Homeless,107
1/1/2007,CA,CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",Total Homeless,400
1/1/2007,CA,CA-600,Los Angeles City & County CoC,Total Homeless,"47,862"
1/1/2007,CA,CA-601,San Diego City and County CoC,Total Homeless,"7,326"
1/1/2007,CA,CA-602,Santa Ana/Anaheim/Orange County CoC,Total Homeless,"3,649"
1/1/2007,CA,CA-603,Santa Maria/Santa Barbara County CoC,Total Homeless,"4,253"
1/1/2007,CA,CA-604,Bakersfield/Kern County CoC,Total Homeless,"1,537"
1/1/2007,CA,CA-606,Long Beach CoC,Total Homeless,"3,829"
1/1/2007,CA,CA-607,Pasadena CoC,Total Homeless,969
1/1/2007,CA,CA-608,Riverside City & County CoC,Total Homeless,"4,508"
1/1/2007,CA,CA-609,San Bernardino City & County CoC,Total Homeless,"6,969"
1/1/2007,CA,CA-611,Oxnard/San Buenaventura/Ventura County CoC,Total Homeless,"1,961"
1/1/2007,CA,CA-612,Glendale CoC,Total Homeless,296
1/1/2007,CA,CA-613,Imperial County CoC,Total Homeless,342
1/1/2007,CA,CA-614,San Luis Obispo County CoC,Total Homeless,"2,408"
1/1/2007,CO,CO-500,Colorado Balance of State CoC,Total Homeless,"4,450"
1/1/2007,CO,CO-503,Metropolitan Denver Homeless Initiative,Total Homeless,"8,698"
1/1/2007,CO,CO-504,Colorado Springs/El Paso County CoC,Total Homeless,"1,077"
1/1/2007,CT,CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,Total Homeless,919
1/1/2007,CT,CT-505,Connecticut Balance of State CoC,Total Homeless,"3,563"
1/1/2007,DC,DC-500,District of Columbia CoC,Total Homeless,"5,320"
1/1/2007,DE,DE-500,Delaware Statewide CoC,Total Homeless,"1,061"
1/1/2007,FL,FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",Total Homeless,"1,012"
1/1/2007,FL,FL-501,Tampa/Hillsborough County CoC,Total Homeless,"6,483"
1/1/2007,FL,FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,Total Homeless,"2,526"
1/1/2007,FL,FL-503,Lakeland/Winter Haven/Polk County CoC,Total Homeless,802
1/1/2007,FL,FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",Total Homeless,"1,478"
1/1/2007,FL,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Total Homeless,"2,179"
1/1/2007,FL,FL-506,Tallahassee/Leon County CoC,Total Homeless,590
1/1/2007,FL,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Total Homeless,"3,823"
1/1/2007,FL,FL-508,"Gainesville/Alachua, Putnam Counties CoC",Total Homeless,678
1/1/2007,FL,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Total Homeless,"1,734"
1/1/2007,FL,FL-510,"Jacksonville-Duval, Clay Counties CoC",Total Homeless,"2,743"
1/1/2007,FL,FL-511,Pensacola/Escambia/Santa Rosa County CoC,Total Homeless,629
1/1/2007,FL,FL-512,Saint Johns County CoC,Total Homeless,"1,238"
1/1/2007,FL,FL-513,Palm Bay/Melbourne/Brevard County CoC,Total Homeless,"1,899"
1/1/2007,FL,FL-514,Ocala/Marion County CoC,Total Homeless,480
1/1/2007,FL,FL-515,"Panama City/Bay, Jackson Counties CoC",Total Homeless,313
1/1/2007,FL,FL-517,"Hendry, Hardee, Highlands Counties CoC",Total Homeless,904
1/1/2007,FL,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Total Homeless,250
1/1/2007,FL,FL-519,Pasco County CoC,Total Homeless,"2,260"
1/1/2007,FL,FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Total Homeless,"2,019"
1/1/2007,FL,FL-600,Miami/Dade County CoC,Total Homeless,"4,392"
1/1/2007,FL,FL-601,Ft Lauderdale/Broward County CoC,Total Homeless,"3,154"
1/1/2007,FL,FL-602,Punta Gorda/Charlotte County CoC,Total Homeless,730
1/1/2007,FL,FL-603,Ft Myers/Cape Coral/Lee County CoC,Total Homeless,"2,382"
1/1/2007,FL,FL-604,Monroe County CoC,Total Homeless,"1,121"
1/1/2007,FL,FL-605,West Palm Beach/Palm Beach County CoC,Total Homeless,"1,766"
1/1/2007,FL,FL-606,Naples/Collier County CoC,Total Homeless,484
1/1/2007,GA,GA-500,Atlanta Continuum of Care,Total Homeless,"6,840"
1/1/2007,GA,GA-501,Georgia Balance of State CoC,Total Homeless,"10,255"
1/1/2007,GA,GA-503,Athens/Clarke County CoC,Total Homeless,464
1/1/2007,GA,GA-504,Augusta CoC,Total Homeless,489
1/1/2007,GA,GA-505,Columbus-Muscogee/Russell County CoC,Total Homeless,540
1/1/2007,GA,GA-506,Marietta/Cobb County CoC,Total Homeless,537
1/1/2007,GA,GA-507,Savannah/Chatham County CoC,Total Homeless,514
1/1/2007,GU,GU-500,Guam CoC,Total Homeless,725
1/1/2007,HI,HI-500,Hawaii Balance of State CoC,Total Homeless,"2,320"
1/1/2007,HI,HI-501,Honolulu CoC,Total Homeless,"3,750"
1/1/2007,IA,IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Total Homeless,164
1/1/2007,IA,IA-501,Iowa Balance of State CoC,Total Homeless,"1,529"
1/1/2007,IA,IA-502,Des Moines/Polk County CoC,Total Homeless,"1,041"
1/1/2007,ID,ID-500,Boise/Ada County CoC,Total Homeless,581
1/1/2007,ID,ID-501,Idaho Balance of State,Total Homeless,"1,168"
1/1/2007,IL,IL-500,McHenry County CoC,Total Homeless,253
1/1/2007,IL,IL-501,"Rockford/Winnebago, Boone Counties CoC",Total Homeless,575
1/1/2007,IL,IL-502,Waukegan/North Chicago/Lake County CoC,Total Homeless,496
1/1/2007,IL,IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,Total Homeless,429
1/1/2007,IL,IL-504,Madison County CoC,Total Homeless,240
1/1/2007,IL,IL-506,Joliet/Bolingbrook/Will County CoC,Total Homeless,397
1/1/2007,IL,IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",Total Homeless,434
1/1/2007,IL,IL-508,East Saint Louis/Belleville/Saint Clair County CoC,Total Homeless,799
1/1/2007,IL,IL-509,Dekalb City & County CoC,Total Homeless,130
1/1/2007,IL,IL-510,Chicago CoC,Total Homeless,"5,979"
1/1/2007,IL,IL-511,Cook County CoC,Total Homeless,"1,420"
1/1/2007,IL,IL-512,Bloomington/Central Illinois CoC,Total Homeless,467
1/1/2007,IL,IL-513,Springfield/Sangamon County CoC,Total Homeless,260
1/1/2007,IL,IL-514,DuPage County CoC,Total Homeless,766
