RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
9,0,California,State,CA,162802,162572,162422,162132,161935,161780,161684,161669,161695,161848,162028,162286,162303,162384,162551,163020,163584,164176,164902,165677,166544,167325,168229,169259,170694,172281,173801,175090,176257,177466,178560,179755,181061,182447,183729,184820,186107,187467,188892,190165,191487,193049,194716,196195,197521,199075,200958,203036,205055,206985,208972,211119,213464,215908,218422,221101,223863,226541,229206,231903,234487,237162,239952,242902,245543,247861,249908,251925,253988,256150,258273,260402,262566,264918,267343,269969,272783,276081,279820,283775,287655,291570,295727,300016,304126,307888,311663,315445,319354,322711,326430,330540,335349,340138,345293,350443,356386,362712,369425,376308,384026,392789,401375,409347,416912,424473,431577,438814,445492,452733,459800,467275,473829,479880,486081,492529,499213,505532,510672,515231,519035,522220,525238,527459,529958,531256,531669,531264,529731,527983,526460,525010,523535,521571,519360,517102,513676,509974,505463,500727,495103,488540,481935,474558,467175,457928,447453,436080,424887,414595,404291,394634,385835,377950,369171,360507,352492,347539,343185,339161,335532,332926,331637,330751,330171,330181,331688,333688,335169,334972,335752,336932,338660,338190,336894,335225,333908,332171,329795,327750,326019,324548,322324,320061,316949,315120,313671,312251,310557,308704,307969,306785,306045,305483,305660,306349,307893,309821,312150,315081,318477,322669,326534,331637,336682,342661,349277,356676,364252,371894,379389,386694,393147,398756,403896,408364,412898,416622,418808,419871,420486,421325,422647,423340,424607,425965,428442,430273,432201,434389,437681,440427,443303,445521,447699,450289,453260,456481,459005,462521,465627,468322,470004,472684,475259,477994,480335,483323,486069,489070,491602,493788,496207,498834,502001,504891,508224,511764,514740,517475,520534,523987,528080,532212,536492,540648,544172,546978,549671,552326,555064,556764,557805,558489,558981,558445,557309,555410,553924,553881,555602,557724,559738,561119,563089,564976,566646,568914,571362,574303,577071,579002,579432,579422
54,1,Texas,State,TX,97827,97852,97880,98006,98144,98260,98349,98470,98624,98805,99021,99261,99285,99286,99276,99409,99502,99631,99764,99932,100110,100354,100582,100820,101293,101745,102192,102317,102528,102741,103050,103289,103513,103585,103623,103628,103848,104335,105002,105743,106428,107107,107754,108306,108761,109293,109878,110467,110850,111130,111301,111491,111532,111571,111573,111762,112010,112258,112552,112876,113103,113097,112934,112838,112925,113030,113155,113201,113307,113434,113525,113614,113718,113955,114295,114715,115140,115632,116114,116607,117026,117410,117808,118193,118470,118558,118550,118589,118717,118953,119176,119459,119699,120011,120290,120612,121191,122225,123580,124720,125570,126064,126660,127206,127872,128485,129069,129648,130271,130678,130930,131108,131367,131760,132090,132431,132716,132899,133203,133439,133803,134212,134665,135103,135619,136153,136697,137165,137672,138334,138902,139476,139876,140167,140372,140693,141058,141473,141769,142234,142682,143074,143343,143575,143377,142975,142420,142072,141682,141309,141021,140622,140123,139577,138993,138436,138135,138122,138189,138072,137915,137775,137742,137657,137603,137531,137743,137911,138002,137978,137990,138083,138109,137989,137521,136991,136458,136030,135518,135091,134682,134158,133586,133015,132552,132128,131943,131918,132013,132036,131910,131741,131714,131950,132296,132593,132911,133262,133691,134075,134369,134650,135102,135692,136383,137026,137781,138626,139491,140365,141259,142197,143232,144322,145404,146359,147226,148118,148912,149679,150479,151401,152278,153228,154176,155155,156128,157137,158160,159174,160261,161368,162401,163417,164416,165383,166271,167217,168078,168980,169923,170839,171726,172584,173616,174591,175651,176577,177565,178460,179576,180755,181816,182868,183790,184772,185605,186466,187236,188010,188843,189829,190833,191749,192551,193386,194372,195468,196532,197536,198433,199353,200129,201050,201861,202849,203818,204761,205383,205828,206343,206905,207529,208080,208747,209221,209711,210083,210543,210997,211641,212340,213010,213652
43,2,New York,State,NY,139851,139535,139348,139066,138963,138897,138816,138734,138697,138716,138773,138878,138854,139134,139439,139811,139943,140111,140417,140721,141016,141237,141669,142131,142998,143498,143972,144073,144335,144601,144736,145152,145658,146442,146913,147406,147665,148195,148763,149636,150583,151598,152923,153999,155064,155830,156672,157435,158186,159247,160473,161844,163060,164248,165186,166039,166865,167837,169038,170298,171578,172634,173690,174727,175855,176987,178164,179396,180613,181937,183300,184734,186206,187616,188851,190114,191414,192854,194329,195895,197455,198974,200531,202219,203900,205684,207808,209809,211725,213423,215153,217079,219086,221149,222919,224575,226366,228162,229802,231508,233411,235586,237831,239933,242117,244207,246589,248821,251092,253373,255606,258004,260352,262619,264936,267308,269836,272343,274620,276956,278983,280878,282459,283873,285119,286431,287503,288382,288818,289089,289216,289388,289498,289651,289931,290050,290313,290297,290413,290460,290470,290724,290986,290968,290882,290457,290014,289314,288316,287240,285941,284741,283449,281843,280123,278522,276973,275545,274126,272838,271661,270435,269345,268354,267741,267470,267396,267357,267186,267140,266988,267168,267248,267633,267767,267545,266933,266012,265150,264212,263597,263002,262563,261695,260783,259584,258669,258003,257555,257226,256728,256329,255858,255274,254750,254384,254332,254410,254522,254703,254899,255035,255311,255673,256070,256667,257177,257935,258627,259449,260261,260968,261676,262516,263371,264127,264878,265604,266457,267076,267590,267967,268242,268590,268960,269417,269864,270461,271037,271499,271803,272213,272726,273398,274171,274924,275675,276255,276825,277225,277659,278403,279356,280349,281196,281870,282574,283390,284257,285258,286322,287638,288885,289844,290690,291724,293135,294816,296405,297867,299242,300682,302134,303406,304778,306217,307718,309106,310407,311707,313167,314702,316351,317808,319080,320136,321090,321963,322968,323780,324700,325301,325848,326221,326595,327036,327577,328303,329040,329824,330457,331227,331860,332674
14,3,Florida,State,FL,100450,100546,100658,100868,101069,101298,101518,101717,101846,101981,102133,102323,102333,102398,102479,102784,103066,103314,103555,103809,104103,104366,104672,104979,105671,106250,106760,106856,107024,107134,107298,107546,107990,108521,108908,109209,109288,109490,109732,110176,110622,111251,111905,112494,112889,113234,113710,114232,114797,115364,116015,116719,117390,118010,118599,119200,119871,120582,121357,122162,122997,123869,124759,125668,126611,127569,128614,129694,130843,132008,133148,134257,135338,136378,137396,138433,139512,140634,141759,142948,144109,145335,146584,148020,149509,151083,152630,154191,155687,157090,158438,159783,161296,162977,164799,166558,168375,170216,172133,174012,176111,178462,181075,183927,186880,189892,192904,196148,199584,203253,207107,211248,215698,220518,225756,231087,236386,241370,246138,250669,254930,258734,262561,266352,269716,272246,273755,274643,274789,274593,274209,273345,272349,271088,269520,267386,264882,261946,258753,255467,252280,249071,245574,241993,237948,233818,229297,224993,220455,216284,212021,207723,203429,199044,194567,190279,186278,182661,179188,175680,172539,169633,167356,165301,163448,161936,161001,160150,159462,158704,158195,157716,157176,156372,155279,153991,152630,151144,149539,148037,146502,145077,143576,142233,140956,139953,139036,138414,137939,137695,137550,137438,137437,137486,137794,138271,138852,139533,140322,141222,142174,143210,144293,145545,147012,148667,150371,152109,154003,155894,157928,160019,162148,164041,165880,167560,169122,170443,171719,172799,173809,174668,175541,176178,176907,177896,178977,180068,181080,182222,183358,184493,185672,186929,188115,189464,190868,192268,193529,194904,196385,197948,199288,200631,201877,203289,204761,206158,207399,208545,209867,211141,212467,213657,214920,216308,217704,219081,220338,221751,223124,224487,225699,226932,227864,228932,230201,231623,233094,234360,235594,236739,237881,238957,240019,241112,242096,242682,242994,243271,243654,244289,245097,245819,246443,247139,247872,248554,249437,250573,251802,252954,254006,254979
21,4,Illinois,State,IL,139978,139725,139406,139033,138518,138214,137788,138254,138963,140428,141625,142536,142845,142844,142979,142859,143005,142809,142557,140534,138014,134279,131331,129158,128314,128157,128066,128036,127988,127936,128239,129424,131122,133353,135260,136721,137397,137778,138169,138683,139120,139871,140678,141469,142001,142649,143437,144280,145293,146306,147325,148236,149124,149977,150775,151692,152678,153693,154734,155822,156868,157783,158716,159707,160833,161905,162892,163828,164840,165922,167018,167982,168882,169820,170925,171876,172877,173821,174994,176117,177190,178214,179129,180214,181269,182463,183496,184645,185600,186514,187373,188452,189701,190924,192089,193115,194328,195483,196678,197941,199307,200864,202297,203652,204772,205982,207354,208864,210189,211524,212839,214278,215708,217191,218694,220150,221793,223390,224854,226186,227414,228692,229755,230799,231658,232412,232959,233563,233973,234323,234520,234847,235317,235906,235759,235637,234823,234617,233815,233490,232679,232192,231529,230727,229896,227675,226966,224546,223886,221176,219984,217305,215757,213169,211063,208046,204982,202681,200138,198382,195960,194184,192751,191596,190032,188785,187646,187486,186916,186651,185286,185159,184019,184043,181873,180737,178939,177962,176054,174423,172795,171541,170383,168520,167232,165385,164936,163832,163267,161498,160596,159142,158369,156822,156453,155969,155962,155523,154905,154338,153822,154156,154694,155268,155937,156830,157449,158357,158967,160176,161300,162897,164302,165871,166681,167724,168335,169247,169643,169813,170235,170960,171714,172141,172674,172975,173548,173941,174312,174429,174933,175728,176500,176729,177002,177245,177580,177822,178114,178574,179165,180200,181082,181823,182329,182978,183754,184493,185124,185821,186674,187594,188580,189338,190238,191067,191865,192492,193037,193731,194497,195353,196152,197017,197872,198519,198864,199197,199688,200320,200807,201222,201758,202253,202721,202967,203043,203286,203537,203939,204296,204546,204810,204933,205043,205099,205146,205286,205519,205730,206028,206206,206323,206452
47,5,Pennsylvania,State,PA,96975,96908,96841,96731,96631,96584,96549,96588,96616,96698,96800,96934,97034,97139,97301,97519,97786,98034,98306,98441,98603,98704,98898,99116,99423,99709,99933,100069,100184,100273,100366,100607,100894,101235,101411,101509,101574,101712,101901,102144,102370,102639,102917,103171,103438,103686,104013,104404,104845,105361,105862,106351,106834,107287,107733,108113,108511,108936,109436,109968,110493,110964,111463,111975,112435,112878,113326,113823,114315,114801,115361,115906,116490,117067,117699,118351,118993,119622,120277,121060,121861,122711,123451,124253,125071,125912,126737,127561,128472,129445,130385,131266,132166,133135,134056,134939,135772,136894,138005,139154,140299,141484,142815,144059,145392,146604,147987,149383,150894,152073,153284,154536,155899,157319,158748,160347,161884,163376,164759,166102,167292,168380,169374,170374,171377,172399,173230,173912,174431,174918,175293,175637,176051,176523,177036,177374,177676,177822,178126,178381,178582,178708,178857,178981,178925,178764,178408,178075,177606,177120,176415,175698,175052,174487,173845,173090,172297,171701,171220,170790,170334,169951,169706,169478,169337,169296,169456,169679,169990,170189,170380,170511,170567,170507,170226,169789,169098,168277,167346,166485,165674,164917,164174,163337,162519,161696,161066,160642,160423,160228,159982,159682,159345,159013,158722,158554,158485,158406,158290,158202,158139,158161,158216,158357,158550,158755,158969,159266,159594,160007,160435,160801,161142,161391,161697,161916,162158,162389,162587,162643,162664,162810,163049,163240,163350,163466,163615,163837,164012,164153,164444,164877,165419,165688,165854,166040,166376,166763,167109,167358,167764,168316,168678,168896,168974,169420,169906,170481,170920,171386,171920,172631,173124,173564,173981,174698,175476,176228,176958,177690,178493,179339,180094,180836,181680,182564,183773,184809,185847,186438,187029,187552,188214,188817,189524,190194,190941,191652,192123,192523,193132,193844,194621,195242,195912,196600,197245,197900,198499,199127,199801,200569,201169,201914
44,6,Ohio,State,OH,92957,93069,93216,93523,93842,94136,94397,94688,94989,95294,95596,95909,96210,96512,96798,97090,97390,97723,98080,98387,98681,98951,99241,99544,99911,100315,100705,101031,101348,101686,102075,102470,102873,103319,103741,104093,104346,104619,104953,105301,105583,105842,106117,106444,106787,107139,107508,107966,108504,109037,109478,109938,110479,111065,111561,112007,112445,112872,113310,113730,114143,114515,114917,115309,115671,115977,116315,116676,117033,117374,117685,117976,118245,118518,118819,119115,119421,119718,120029,120313,120602,120908,121272,121650,122023,122387,122722,123081,123434,123834,124237,124708,125173,125626,125988,126345,126664,127030,127406,127771,128140,128477,128835,129121,129418,129703,130035,130365,130757,131144,131529,131871,132163,132464,132731,133039,133317,133615,133935,134239,134472,134614,134738,134861,134983,135060,135133,135157,135101,135032,134942,134846,134756,134713,134547,134315,134014,133753,133425,133107,132880,132630,132236,131837,131461,131071,130724,130296,129896,129429,129057,128639,128141,127501,126978,126348,125634,124776,124009,123432,122961,122516,122048,121609,121263,121081,120899,120804,120709,120791,120727,120657,120477,120267,119831,119322,118745,118166,117529,116852,116291,115709,115215,114564,113943,113363,113004,112718,112444,112120,111842,111620,111337,111032,110830,110731,110600,110405,110250,110207,110256,110312,110347,110412,110610,110896,111141,111412,111756,112209,112616,113011,113307,113706,114054,114347,114370,114328,114283,114351,114484,114690,114937,115086,115294,115441,115747,116131,116690,117289,117828,118280,118746,119186,119625,120044,120447,120837,121204,121535,121946,122347,122864,123339,123774,124193,124658,125203,125776,126365,127006,127712,128459,129162,129803,130459,131115,131801,132410,133174,133976,134884,135667,136397,136882,137516,138223,139197,140099,140903,141672,142300,142884,143457,144206,144979,145809,146553,147286,147794,148363,148951,149658,150293,151020,151705,152318,152940,153651,154379,155106,155885,156668,157496
30,7,Michigan,State,MI,92063,92391,92705,93382,94050,94732,95349,95921,96448,96970,97545,98172,98832,99436,100068,100626,101216,101725,102325,102999,103744,104487,105152,105727,106314,106933,107544,108117,108676,109307,109952,110573,111205,111854,112500,113165,113694,114362,115000,115795,116534,117377,118183,119002,119770,120526,121286,122054,122952,123747,124599,125372,126237,127043,127931,128752,129522,130242,131045,131877,132619,133264,133875,134497,135131,135688,136226,136781,137411,138003,138525,138997,139527,140073,140643,141114,141474,141829,142130,142481,142769,143110,143464,143839,144182,144588,144863,145258,145716,146276,146795,147270,147782,148323,148817,149289,149729,150140,150628,151035,151446,151832,152293,152717,153092,153463,153838,154210,154598,154913,155266,155610,156016,156296,156511,156733,157011,157234,157413,157554,157690,157818,157848,157770,157561,157248,156974,156578,156185,155626,155044,154313,153555,152858,152182,151554,150681,149878,148846,148100,146970,145805,144451,143418,142430,141234,139759,137948,136212,134453,132708,130675,128866,127384,125975,124174,121925,119802,117764,116031,114335,112725,111479,110352,109458,108356,107519,106804,106546,106170,105949,105812,105834,105864,105452,104889,104062,103331,102516,101875,101151,100605,99910,99203,98455,97752,97261,97061,97092,97153,97160,97171,97220,97245,97530,97863,98354,98870,99544,100180,100784,101530,102365,103152,103962,104995,106185,107438,108641,109864,111184,112591,114080,115408,116659,117941,119245,120369,121219,121953,122724,123579,124308,124879,125318,125812,126377,126895,127429,128003,128747,129407,129943,130416,130941,131572,132091,132609,133215,134030,134789,135495,135994,136774,137606,138548,139485,140377,141473,142568,143562,144426,145279,146198,147276,148342,149518,150528,151400,152298,153210,154200,155226,156220,157432,158661,159826,160828,161820,162968,164130,165255,166225,167141,167913,168835,169493,170127,170463,170875,171650,172608,173660,174341,175083,175792,176558,177178,177826,178403,179153,179855,180176,180233
16,8,Georgia,State,GA,102944,103103,103266,103617,103969,104344,104693,105044,105387,105761,106151,106573,106915,107306,107725,108229,108701,109128,109591,110101,110660,111197,111717,112245,112985,113660,114262,114638,115128,115685,116282,116864,117426,118011,118623,119200,119671,120175,120775,121508,122209,122926,123673,124366,125069,125751,126449,127117,127752,128497,129299,130190,131020,131844,132637,133483,134331,135208,136091,137060,138048,138875,139600,140228,140937,141604,142274,142936,143574,144183,144750,145287,145784,146321,146817,147330,147801,148285,148729,149105,149486,149881,150273,150595,150943,151289,151697,152014,152293,152548,152834,153165,153487,153786,154102,154494,154890,155310,155712,156171,156606,157001,157405,157865,158361,158894,159389,159844,160246,160636,161055,161563,162174,162834,163433,163979,164555,165129,165769,166329,166968,167562,168123,168556,168946,169397,169920,170435,170889,171298,171687,172141,172584,173007,173411,173739,173951,173998,173931,173801,173523,173200,172809,172479,171865,171075,170058,169212,168384,167481,166399,165185,164020,162728,161150,159203,157396,155707,154140,152269,150439,148768,147527,146471,145521,144511,143739,143188,142617,141987,141385,141141,140958,140583,139635,138375,136834,135506,134101,132959,131726,130713,129403,127955,126293,124827,123718,123070,122793,122539,122237,121578,121086,120582,120655,120843,121246,121671,122184,122512,122676,122891,123490,124326,125382,126480,127552,128560,129659,130857,132073,133429,134860,136317,137545,138826,139914,140992,141859,142732,143488,144188,144948,145658,146419,147116,147838,148494,149135,149744,150338,151024,151862,152767,153542,154297,155022,155713,156395,157057,157898,158721,159691,160638,161516,162224,162852,163492,164028,164752,165550,166523,167326,168204,169069,169977,170887,171942,173127,174279,175641,176938,178372,179745,181197,182562,183732,184918,186178,187508,188797,190007,191163,192345,193570,194700,195690,196492,197477,198439,199432,200150,200861,201611,202378,203116,203735,204428,205225,206199,207129,208059,208926,209949
36,9,North Carolina,State,NC,110044,110258,110449,110846,111239,111682,112153,112614,113018,113495,114026,114596,115151,115696,116292,116855,117379,117812,118197,118674,119245,119694,120070,120406,120843,121218,121554,121893,122377,122916,123477,123921,124338,124815,125269,125700,126004,126399,126778,127249,127608,127959,128329,128696,129089,129437,129860,130308,130760,131299,131846,132439,132980,133514,134001,134457,134900,135363,135906,136459,137052,137460,137832,138127,138461,138780,139049,139383,139703,140053,140278,140468,140627,140824,141047,141230,141460,141672,141946,142157,142368,142558,142767,142978,143209,143449,143708,143942,144181,144378,144603,144867,145142,145398,145656,145970,146356,146742,147113,147471,147794,148158,148493,148841,149241,149683,150199,150710,151138,151643,152105,152707,153291,153998,154745,155529,156298,157124,157936,158750,159543,160330,161147,161954,162817,163637,164504,165356,166202,166968,167660,168335,169055,169682,170325,170933,171589,172231,172773,173262,173624,173893,174153,174373,174542,174561,174494,174340,174106,173731,173276,172846,172380,171871,171173,170407,169586,169000,168408,167691,166800,165952,165277,164544,163925,163413,163110,162774,162465,161999,161597,161358,161224,160993,160478,159897,159229,158609,157936,157320,156626,155939,155134,154192,153345,152676,152187,151676,151266,150737,150239,149751,149395,149130,148945,148964,148886,148751,148623,148679,148736,148844,148968,149085,149242,149400,149730,150075,150546,151049,151571,152088,152556,153090,153549,154122,154596,155089,155393,155641,155852,156038,156196,156276,156466,156688,157079,157462,157947,158432,159053,159582,160046,160480,161039,161688,162246,162742,163149,163520,163937,164445,164918,165522,166255,167167,168044,168870,169738,170590,171494,172423,173302,174107,174998,175958,176888,177687,178387,179191,180070,181150,182179,183266,184359,185501,186549,187455,188424,189448,190608,191709,192745,193595,194536,195490,196557,197432,198266,199122,199946,200798,201588,202432,203269,204170,205034,205872,206644,207570,208575,209632,210700,211758
