Dependence,Substance,Weighted Count,Percentage
No/Non-Veteran,Alcohol,4627972.35,0.984375514
No/Veteran,Alcohol,17160567.35,0.981438864
Yes/Non-Veteran,Alcohol,73457.42346,0.015624486
Yes/Veteran,Alcohol,324543.5252,0.018561136
No/Non-Veteran,Cocaine,4697826.21,0.999233518
No/Veteran,Cocaine,17478545.88,0.999624538
Yes/Non-Veteran,Cocaine,3603.563065,0.000766482
Yes/Veteran,Cocaine,6564.998307,0.000375462
No/Non-Veteran,Heroin,4701429.773,1
No/Veteran,Heroin,17436481.51,0.997218813
Yes/Non-Veteran,Heroin,0,0
Yes/Veteran,Heroin,48629.36509,0.002781187
No/Non-Veteran,Marijuana,4687120.221,0.99695634
No/Veteran,Marijuana,17421924.53,0.996386277
Yes/Non-Veteran,Marijuana,14309.55228,0.00304366
Yes/Veteran,Marijuana,63186.34595,0.003613723
No/Non-Veteran,Pain Reliever,4699667.815,0.999625229
No/Veteran,Pain Reliever,17460529.74,0.998594168
Yes/Non-Veteran,Pain Reliever,1761.95831,0.000374771
Yes/Veteran,Pain Reliever,24581.13529,0.001405832
